protid,Protein_Accession,Taxonomy
"Chain A, MAJOR APURINIC/APYRIMIDINIC ENDONUCLEASE (human)",1DE9_A,Homo sapiens (human)
"Chain A, TYROSYL-DNA PHOSPHODIESTERASE (human)",1JY1_A,Homo sapiens (human)
"Chain E, Fibrin beta chain (human)",1N8E_E,Homo sapiens (human)
"Chain A, Breast cancer type 1 susceptibility protein (human)",1OQA_A,Homo sapiens (human)
"Chain A, Genome polyprotein (Human poliovirus 1 Mahoney)",1RA7_A,Human poliovirus 1 Mahoney
"Chain A, Putative fructose-1,6-bisphosphate aldolase (Giardia intestinalis)",2ISV_A,Giardia intestinalis
"Chain A, HADH2 protein (human)",2O23_A,Homo sapiens (human)
"Chain B, HADH2 protein (human)",2O23_B,Homo sapiens (human)
"Chain A, Neuropilin-1 (human)",2QQI_A,Homo sapiens (human)
"Chain A, JmjC domain-containing histone demethylation protein 3A (human)",2QQS_A,Homo sapiens (human)
"Chain A, 2-oxoglutarate Oxygenase (human)",2W2I_A,Homo sapiens (human)
"Chain A, ATP-DEPENDENT DNA HELICASE Q1 (human)",2WWY_A,Homo sapiens (human)
"Chain A, RNA-directed RNA polymerase NS5 (Dengue virus 2 16681-PDK53)",3EVG_A,Dengue virus 2 16681-PDK53
"Chain A, Cruzipain (Trypanosoma cruzi)",3I06_A,Trypanosoma cruzi
"T cell receptor, partial (human)",AAA51534,Homo sapiens (human)
acid sphingomyelinase (human),AAA58377,Homo sapiens (human)
glutathione-S-transferase (Schistosoma japonicum),AAB03573,Schistosoma japonicum
Nrf2 (human),AAB32188,Homo sapiens (human)
PAX8 (human),AAB34216,Homo sapiens (human)
"glp-1 receptor, partial (human)",AAB64013,Homo sapiens (human)
"TCRAV4S1, partial (human)",AAB69001,Homo sapiens (human)
aryl hydrocarbon receptor nuclear translocator (human),AAC03365,Homo sapiens (human)
CtBP interacting protein CtIP (human),AAC14371,Homo sapiens (human)
thioredoxin reductase (Norway rat),AAC35244,Rattus norvegicus (Norway rat)
BRCA1 (human),AAC37594,Homo sapiens (human)
RGS12 (human),AAC39835,Homo sapiens (human)
ClpP (Bacillus subtilis),AAC46381,Bacillus subtilis
SUMO-1 (human),AAC50996,Homo sapiens (human)
ADAM10 (human),AAC51766,Homo sapiens (human)
"15-lipoxygenase, partial (human)",AAC52118,Homo sapiens (human)
ORF 73 (Human herpesvirus 8 type M),AAC57158,Human herpesvirus 8 type M
WRN (human),AAC63361,Homo sapiens (human)
"integrase, partial (Human immunodeficiency virus 1)",AAC83551,Human immunodeficiency virus 1
lens epithelium-derived growth factor p75 (human),AAF25870,Homo sapiens (human)
cyclic AMP receptor protein (Vibrio cholerae O1 biovar El Tor str. N16961),AAF95755,Vibrio cholerae O1 biovar El Tor str. N16961
hypothetical protein VC_A0002 (Vibrio cholerae O1 biovar El Tor str. N16961),AAF95916,Vibrio cholerae O1 biovar El Tor str. N16961
phosphopantetheinyl transferase (Bacillus subtilis),AAG24257,Bacillus subtilis
Kcnk3 channel (human),AAG29340,Homo sapiens (human)
"Arrestin, beta 1 (human)",AAH03636,Homo sapiens (human)
"Caspase 6, apoptosis-related cysteine peptidase (human)",AAH04460,Homo sapiens (human)
PSMD14 protein (human),AAH09524,Homo sapiens (human)
"Prolyl 4-hydroxylase, beta polypeptide (human)",AAH10859,Homo sapiens (human)
"USP1 protein, partial (human)",AAH18745,Homo sapiens (human)
"PRMT1 protein, partial (human)",AAH19268,Homo sapiens (human)
"Cyclin-dependent kinase 5, regulatory subunit 1 (p35) (human)",AAH26347,Homo sapiens (human)
ERAP1 protein (human),AAH30775,Homo sapiens (human)
Methyl-CpG binding domain protein 2 (human),AAH32638,Homo sapiens (human)
GLS protein (human),AAH38507,Homo sapiens (human)
Microphthalmia-associated transcription factor (human),AAH65243,Homo sapiens (human)
MSRA protein (cattle),AAI02981,Bos taurus (cattle)
TDP1 protein (human),AAI07878,Homo sapiens (human)
Microtubule-associated protein tau (human),AAI14949,Homo sapiens (human)
"Phospholipase C, gamma 1 (human)",AAI36467,Homo sapiens (human)
"Phospholipase C, beta 3 (phosphatidylinositol-specific) (human)",AAI42682,Homo sapiens (human)
Smad3 (human),AAL68976,Homo sapiens (human)
"apical membrane antigen 1, AMA1 (Plasmodium falciparum 3D7)",AAN35928,Plasmodium falciparum 3D7
"aldehyde dehydrogenase 1 family, member A1 (human)",AAP35567,Homo sapiens (human)
PINK1 (human),AAQ89316,Homo sapiens (human)
corticotropin-releasing hormone receptor 2 (human),AAR18078,Homo sapiens (human)
"hypothetical protein, conserved (Trypanosoma brucei)",AAX80043,Trypanosoma brucei
regulator of G-protein signaling 4 (human),ABC94591,Homo sapiens (human)
cystic fibrosis transmembrane conductance regulator ATP-binding cassette sub-family C member 7 (human),ABD72211,Homo sapiens (human)
"isocitrate dehydrogenase 1, partial (human)",ABD77215,Homo sapiens (human)
lactate dehydrogenase (malaria parasite P. falciparum),ABH03417,Plasmodium falciparum (malaria parasite P. falciparum)
Photinus pyralis luciferase (Shuttle vector pANFluc),ABM67533,Shuttle vector pANFluc
nonstructural protein 1 (Influenza A virus (A/California/07/2009(H1N1))),ACP44172,Influenza A virus (A/California/07/2009(H1N1))
LANA (Human gammaherpesvirus 8),ADQ57959,Human gammaherpesvirus 8
"potassium voltage-gated channel subfamily H member 2 isoform a, partial (human)",AEL63844,Homo sapiens (human)
67.9K protein (Vaccinia virus),BAA01847,Vaccinia virus
glucocerebrosidase (human),BAA02545,Homo sapiens (human)
luciferase (Pennsylania firefly),BAA05005,Photuris pensylvanica (Pennsylania firefly)
Parkin (human),BAA25751,Homo sapiens (human)
Gli1 (house mouse),BAA85004,Mus musculus (house mouse)
TRIC (human),BAE54513,Homo sapiens (human)
toll-like receptor 9 (human),BAG55070,Homo sapiens (human)
photoreceptor-specific nuclear receptor (human),BAH02301,Homo sapiens (human)
alpha-galactosidase (human),CAA29232,Homo sapiens (human)
corticotropin releasing factor-binding protein (human),CAA41086,Homo sapiens (human)
cardiac alpha tropomyosin (pig),CAA46986,Sus scrofa (pig)
six1 (human),CAA62974,Homo sapiens (human)
FATTY-ACID-CoA LIGASE FADD28 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) (Mycobacterium tuberculosis H37Rv),CAB06100,Mycobacterium tuberculosis H37Rv
glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase (Plasmodium berghei),CAC24715,Plasmodium berghei
LMP1 [Human herpesvirus 4] (Epstein-Barr virus),CAD53472,human gammaherpesvirus 4 (Epstein-Barr virus)
"S100A4, partial (human)",CAG29341,Homo sapiens (human)
LARGE (human),CAG30396,Homo sapiens (human)
CDK5 (human),CAG33322,Homo sapiens (human)
IDH1 (human),CAG38738,Homo sapiens (human)
DNA topoisomerase I (Yersinia pestis CO92),CAL20848,Yersinia pestis CO92
"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) (human)",CAQ08732,Homo sapiens (human)
priA (Klebsiella pneumoniae),CDO16358,Klebsiella pneumoniae
ssb (Klebsiella pneumoniae),CDO16711,Klebsiella pneumoniae
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2, isoform CRA_a (human)",EAW58811,Homo sapiens (human)
"phospholipase A2, group III (human)",EAW59941,Homo sapiens (human)
"caspase recruitment domain family, member 15 (human)",EAW82767,Homo sapiens (human)
hypothetical protein G057_19877 (Klebsiella pneumoniae hvKP1),EMB09144,Klebsiella pneumoniae hvKP1
beta-2 adrenergic receptor (human),NP_000015,Homo sapiens (human)
Bloom syndrome protein isoform 1 (human),NP_000048,Homo sapiens (human)
lysosomal alpha-glucosidase preproprotein (human),NP_000143,Homo sapiens (human)
menin isoform 1 (human),NP_000235,Homo sapiens (human)
major prion protein preproprotein Prp precursor (human),NP_000302,Homo sapiens (human)
"troponin I, cardiac muscle (human)",NP_000354,Homo sapiens (human)
"platelet-activating factor acetylhydrolase 2, cytoplasmic (human)",NP_000428,Homo sapiens (human)
nuclear receptor subfamily 0 group B member 1 (human),NP_000466,Homo sapiens (human)
cystic fibrosis transmembrane conductance regulator (human),NP_000483,Homo sapiens (human)
hemoglobin subunit beta (human),NP_000509,Homo sapiens (human)
cellular tumor antigen p53 isoform a (human),NP_000537,Homo sapiens (human)
interleukin-1 beta proprotein (human),NP_000567,Homo sapiens (human)
interferon gamma precursor (human),NP_000610,Homo sapiens (human)
polyunsaturated fatty acid lipoxygenase ALOX12 (human),NP_000688,Homo sapiens (human)
muscarinic acetylcholine receptor M1 (human),NP_000729,Homo sapiens (human)
muscarinic acetylcholine receptor M4 (human),NP_000732,Homo sapiens (human)
D(2) dopamine receptor isoform long (human),NP_000786,Homo sapiens (human)
15-hydroxyprostaglandin dehydrogenase [NAD(+)] isoform 1 (human),NP_000851,Homo sapiens (human)
delta-type opioid receptor (human),NP_000902,Homo sapiens (human)
mu-type opioid receptor isoform MOR-1 (human),NP_000905,Homo sapiens (human)
ATP-dependent translocase ABCB1 isoform 2 (human),NP_000918,Homo sapiens (human)
prostaglandin E2 receptor EP2 subtype (human),NP_000947,Homo sapiens (human)
"troponin T, cardiac muscle isoform 3 (human)",NP_001001431,Homo sapiens (human)
perilipin-5 (human),NP_001013728,Homo sapiens (human)
Golgi-associated PDZ and coiled-coil motif-containing protein isoform b (human),NP_001017408,Homo sapiens (human)
vitamin D3 receptor isoform VDRA (human),NP_001017535,Homo sapiens (human)
Nuclear hormone receptor family member daf-12 (Caenorhabditis elegans),NP_001024547,Caenorhabditis elegans
histone-lysine N-methyltransferase NSD2 isoform 1 (human),NP_001035889,Homo sapiens (human)
E3 ubiquitin-protein ligase UHRF1 isoform 1 (human),NP_001041666,Homo sapiens (human)
cAMP-dependent protein kinase type I-alpha regulatory subunit (cattle),NP_001069826,Bos taurus (cattle)
chromobox protein homolog 1 (human),NP_001120700,Homo sapiens (human)
thyroid hormone receptor beta isoform a (human),NP_001121649,Homo sapiens (human)
transcriptional coactivator YAP1 isoform 1 (human),NP_001123617,Homo sapiens (human)
nuclear factor erythroid 2-related factor 2 isoform 2 (human),NP_001138884,Homo sapiens (human)
platelet-activating factor acetylhydrolase IB subunit alpha1 (human),NP_001139412,Homo sapiens (human)
parathyroid hormone/parathyroid hormone-related peptide receptor precursor (human),NP_001171673,Homo sapiens (human)
platelet-activating factor acetylhydrolase IB subunit alpha2 isoform b (human),NP_001171675,Homo sapiens (human)
"arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 isoform 2 (human)",NP_001234925,Homo sapiens (human)
microphthalmia-associated transcription factor isoform 9 (human),NP_001341533,Homo sapiens (human)
DNA (cytosine-5)-methyltransferase 1 isoform b (human),NP_001370,Homo sapiens (human)
endothelial PAS domain-containing protein 1 (human),NP_001421,Homo sapiens (human)
glyceraldehyde-3-phosphate dehydrogenase isoform 1 (human),NP_002037,Homo sapiens (human)
guanine nucleotide-binding protein G(i) subunit alpha-1 isoform 1 (human),NP_002060,Homo sapiens (human)
huntingtin isoform 2 (human),NP_002102,Homo sapiens (human)
importin subunit beta-1 isoform 1 (human),NP_002256,Homo sapiens (human)
polyadenylate-binding protein 1 (human),NP_002559,Homo sapiens (human)
cAMP-dependent protein kinase type II-beta regulatory subunit (human),NP_002727,Homo sapiens (human)
mitogen-activated protein kinase 1 (human),NP_002736,Homo sapiens (human)
disintegrin and metalloproteinase domain-containing protein 17 isoform 1 preproprotein (human),NP_003174,Homo sapiens (human)
"troponin C, slow skeletal and cardiac muscles (human)",NP_003271,Homo sapiens (human)
galanin receptor type 3 (human),NP_003605,Homo sapiens (human)
nuclear receptor coactivator 1 isoform 1 [Homo sapiens] (human),NP_003734,Homo sapiens (human)
receptor-interacting serine/threonine-protein kinase 2 isoform 1 (human),NP_003812,Homo sapiens (human)
nuclear receptor subfamily 5 group A member 2 isoform 2 (human),NP_003813,Homo sapiens (human)
tumor necrosis factor receptor superfamily member 10B isoform 1 precursor (human),NP_003833,Homo sapiens (human)
NEDD8-activating enzyme E1 regulatory subunit isoform a (human),NP_003896,Homo sapiens (human)
NEDD8-conjugating enzyme Ubc12 (human),NP_003960,Homo sapiens (human)
fatty acid synthase (human),NP_004095,Homo sapiens (human)
flap endonuclease 1 (human),NP_004102,Homo sapiens (human)
ubiquitin carboxyl-terminal hydrolase 2 isoform a (human),NP_004196,Homo sapiens (human)
ras and Rab interactor 1 isoform 1 (human),NP_004283,Homo sapiens (human)
C-C chemokine receptor type 6 (human),NP_004358,Homo sapiens (human)
protein AF-9 isoform a (human),NP_004520,Homo sapiens (human)
G-protein coupled receptor 183 (human),NP_004942,Homo sapiens (human)
steroidogenic factor 1 (human),NP_004950,Homo sapiens (human)
insulin-degrading enzyme isoform 1 (human),NP_004960,Homo sapiens (human)
matrix metalloproteinase-14 preproprotein (human),NP_004986,Homo sapiens (human)
serine/threonine-protein kinase PLK1 (human),NP_005021,Homo sapiens (human)
tyrosine-protein kinase ABL1 isoform a (human),NP_005148,Homo sapiens (human)
"ATP-binding cassette sub-family B member 6, mitochondrial isoform 1 (human)",NP_005680,Homo sapiens (human)
snurportin-1 (human),NP_005692,Homo sapiens (human)
melanocortin receptor 4 (human),NP_005903,Homo sapiens (human)
histone-lysine N-methyltransferase 2A isoform 2 precursor (human),NP_005924,Homo sapiens (human)
peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (human),NP_006212,Homo sapiens (human)
tumor susceptibility gene 101 protein (human),NP_006283,Homo sapiens (human)
GTP-binding nuclear protein Ran isoform 1 (human),NP_006316,Homo sapiens (human)
transforming acidic coiled-coil-containing protein 3 (human),NP_006333,Homo sapiens (human)
DNA polymerase eta isoform 1 (human),NP_006493,Homo sapiens (human)
nuclear receptor coactivator 2 isoform a (human),NP_006531,Homo sapiens (human)
C-X-C chemokine receptor type 6 (human),NP_006555,Homo sapiens (human)
COP9 signalosome complex subunit 5 (human),NP_006828,Homo sapiens (human)
tyrosine-protein phosphatase non-receptor type 5 isoform a (human),NP_008837,Homo sapiens (human)
DNA polymerase iota isoform a (long) (human),NP_009126,Homo sapiens (human)
H(+)-transporting V0 sector ATPase subunit c' (Saccharomyces cerevisiae S288C),NP_015090,Saccharomyces cerevisiae S288C
protein fosB isoform 1 (house mouse),NP_032062,Mus musculus (house mouse)
interleukin-2 precursor (house mouse),NP_032392,Mus musculus (house mouse)
urokinase-type plasminogen activator precursor (house mouse),NP_032899,Mus musculus (house mouse)
plasminogen precursor (house mouse),NP_032903,Mus musculus (house mouse)
cAMP-dependent protein kinase catalytic subunit beta isoform 1 (house mouse),NP_035230,Mus musculus (house mouse)
urokinase plasminogen activator surface receptor precursor (house mouse),NP_035243,Mus musculus (house mouse)
nuclear receptor ROR-gamma isoform 1 (house mouse),NP_035411,Mus musculus (house mouse)
muscarinic acetylcholine receptor M5 (human),NP_036257,Homo sapiens (human)
dual specificity tyrosine-phosphorylation-regulated kinase 1A (Norway rat),NP_036923,Rattus norvegicus (Norway rat)
rac GTPase-activating protein 1 isoform a (human),NP_037409,Homo sapiens (human)
cysteine protease ATG4B isoform a (human),NP_037457,Homo sapiens (human)
transactivating tegument protein VP16 [Human herpesvirus 1] (Herpes simplex virus type 1),NP_044650,Human alphaherpesvirus 1 (Herpes simplex virus type 1)
sentrin-specific protease 1 (human),NP_055369,Homo sapiens (human)
geminin (human),NP_056979,Homo sapiens (human)
1-acylglycerol-3-phosphate O-acyltransferase ABHD5 isoform a (human),NP_057090,Homo sapiens (human)
DNA polymerase kappa isoform 1 (human),NP_057302,Homo sapiens (human)
tyrosyl-DNA phosphodiesterase 2 (human),NP_057698,Homo sapiens (human)
Vif (Human immunodeficiency virus 1),NP_057851,Human immunodeficiency virus 1
Vpr (Human immunodeficiency virus 1),NP_057852,Human immunodeficiency virus 1
Tat (Human immunodeficiency virus 1),NP_057853,Human immunodeficiency virus 1
"Envelope surface glycoprotein gp160, precursor (Human immunodeficiency virus 1)",NP_057856,Human immunodeficiency virus 1
scavenger receptor class B member 1 isoform 1 (house mouse),NP_058021,Mus musculus (house mouse)
survival motor neuron protein isoform d (human),NP_059107,Homo sapiens (human)
cytochrome P450 3A4 isoform 1 (human),NP_059488,Homo sapiens (human)
Golgi-associated PDZ and coiled-coil motif-containing protein isoform a (human),NP_065132,Homo sapiens (human)
mucolipin-1 (human),NP_065394,Homo sapiens (human)
fibroblast growth factor 22 isoform 1 precursor (human),NP_065688,Homo sapiens (human)
