protid,Protein_Accession,Taxonomy
chromobox protein homolog 1 (human),NP_001120700,Homo sapiens (human)
thyroid hormone receptor beta isoform a (human),NP_001121649,Homo sapiens (human)
transcriptional coactivator YAP1 isoform 1 (human),NP_001123617,Homo sapiens (human)
DNA repair and recombination protein RAD54-like isoform 1 (human),NP_001136020,Homo sapiens (human)
nuclear factor erythroid 2-related factor 2 isoform 2 (human),NP_001138884,Homo sapiens (human)
platelet-activating factor acetylhydrolase IB subunit alpha1 (human),NP_001139412,Homo sapiens (human)
platelet-activating factor acetylhydrolase precursor (human),NP_001161829,Homo sapiens (human)
transcription activator BRG1 isoform 1 (house mouse),NP_001167549,Mus musculus (house mouse)
parathyroid hormone/parathyroid hormone-related peptide receptor precursor (human),NP_001171673,Homo sapiens (human)
platelet-activating factor acetylhydrolase IB subunit alpha2 isoform b (human),NP_001171675,Homo sapiens (human)
potassium voltage-gated channel subfamily H member 2 isoform d (human),NP_001191727,Homo sapiens (human)
reduced folate transporter isoform 3 (human),NP_001192136,Homo sapiens (human)
transcriptional regulator ERG isoform 3 (human),NP_001230357,Homo sapiens (human)
caspase-3 (Chinese hamster),NP_001230975,Cricetulus griseus (Chinese hamster)
"arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 isoform 2 (human)",NP_001234925,Homo sapiens (human)
thyroid hormone receptor beta isoform 2 (Norway rat),NP_001257783,Rattus norvegicus (Norway rat)
histone deacetylase 9 isoform 3 (human),NP_001308829,Homo sapiens (human)
microphthalmia-associated transcription factor isoform 9 (human),NP_001341533,Homo sapiens (human)
DNA (cytosine-5)-methyltransferase 1 isoform b (human),NP_001370,Homo sapiens (human)
endothelial PAS domain-containing protein 1 (human),NP_001421,Homo sapiens (human)
glucokinase regulatory protein (human),NP_001477,Homo sapiens (human)
orexin/Hypocretin receptor type 1 [Homo sapiens] (human),NP_001516,Homo sapiens (human)
heat shock protein beta-1 (human),NP_001531,Homo sapiens (human)
beta-adrenergic receptor kinase 1 (human),NP_001610,Homo sapiens (human)
aryl hydrocarbon receptor (human),NP_001612,Homo sapiens (human)
leukocyte surface antigen CD47 isoform 1 precursor (human),NP_001768,Homo sapiens (human)
glyceraldehyde-3-phosphate dehydrogenase isoform 1 (human),NP_002037,Homo sapiens (human)
guanine nucleotide-binding protein G(i) subunit alpha-1 isoform 1 (human),NP_002060,Homo sapiens (human)
huntingtin isoform 2 (human),NP_002102,Homo sapiens (human)
G protein-activated inward rectifier potassium channel 2 (human),NP_002231,Homo sapiens (human)
importin subunit beta-1 isoform 1 (human),NP_002256,Homo sapiens (human)
E3 ubiquitin-protein ligase Mdm2 isoform a (human),NP_002383,Homo sapiens (human)
protein Mdm4 isoform 1 (human),NP_002384,Homo sapiens (human)
neurotensin receptor type 1 (human),NP_002522,Homo sapiens (human)
polyadenylate-binding protein 1 (human),NP_002559,Homo sapiens (human)
DNA polymerase beta (human),NP_002681,Homo sapiens (human)
cAMP-dependent protein kinase type II-beta regulatory subunit (human),NP_002727,Homo sapiens (human)
mitogen-activated protein kinase 1 (human),NP_002736,Homo sapiens (human)
disintegrin and metalloproteinase domain-containing protein 17 isoform 1 preproprotein (human),NP_003174,Homo sapiens (human)
"troponin C, slow skeletal and cardiac muscles (human)",NP_003271,Homo sapiens (human)
thyrotropin-releasing hormone receptor (human),NP_003292,Homo sapiens (human)
ubiquitin-conjugating enzyme E2 N (human),NP_003339,Homo sapiens (human)
galanin receptor type 3 (human),NP_003605,Homo sapiens (human)
nuclear receptor coactivator 1 isoform 1 [Homo sapiens] (human),NP_003734,Homo sapiens (human)
receptor-interacting serine/threonine-protein kinase 2 isoform 1 (human),NP_003812,Homo sapiens (human)
nuclear receptor subfamily 5 group A member 2 isoform 2 (human),NP_003813,Homo sapiens (human)
tumor necrosis factor receptor superfamily member 10B isoform 1 precursor (human),NP_003833,Homo sapiens (human)
histone deacetylase 3 isoform 2 (human),NP_003874,Homo sapiens (human)
NEDD8-activating enzyme E1 regulatory subunit isoform a (human),NP_003896,Homo sapiens (human)
NEDD8-conjugating enzyme Ubc12 (human),NP_003960,Homo sapiens (human)
atrial natriuretic peptide receptor 2 precursor (human),NP_003986,Homo sapiens (human)
nuclear factor NF-kappa-B p105 subunit isoform 1 (human),NP_003989,Homo sapiens (human)
fatty acid synthase (human),NP_004095,Homo sapiens (human)
flap endonuclease 1 (human),NP_004102,Homo sapiens (human)
ubiquitin carboxyl-terminal hydrolase 2 isoform a (human),NP_004196,Homo sapiens (human)
ras-related protein Rab-9A (human),NP_004242,Homo sapiens (human)
ras and Rab interactor 1 isoform 1 (human),NP_004283,Homo sapiens (human)
caspase-3 isoform a preproprotein (human),NP_004337,Homo sapiens (human)
C-C chemokine receptor type 6 (human),NP_004358,Homo sapiens (human)
protein AF-9 isoform a (human),NP_004520,Homo sapiens (human)
glutathione S-transferase omega-1 isoform 1 (human),NP_004823,Homo sapiens (human)
G-protein coupled receptor 183 (human),NP_004942,Homo sapiens (human)
serine/threonine-protein kinase mTOR isoform 1 (human),NP_004949,Homo sapiens (human)
steroidogenic factor 1 (human),NP_004950,Homo sapiens (human)
insulin-degrading enzyme isoform 1 (human),NP_004960,Homo sapiens (human)
matrix metalloproteinase-14 preproprotein (human),NP_004986,Homo sapiens (human)
serine/threonine-protein kinase PLK1 (human),NP_005021,Homo sapiens (human)
tyrosine-protein kinase ABL1 isoform a (human),NP_005148,Homo sapiens (human)
apelin receptor (human),NP_005152,Homo sapiens (human)
eyes absent homolog 2 isoform a (human),NP_005235,Homo sapiens (human)
FAD-linked sulfhydryl oxidase ALR (human),NP_005253,Homo sapiens (human)
heat shock protein HSP 90-alpha isoform 2 (human),NP_005339,Homo sapiens (human)
"ATP-binding cassette sub-family B member 6, mitochondrial isoform 1 (human)",NP_005680,Homo sapiens (human)
snurportin-1 (human),NP_005692,Homo sapiens (human)
melanocortin receptor 4 (human),NP_005903,Homo sapiens (human)
histone-lysine N-methyltransferase 2A isoform 2 precursor (human),NP_005924,Homo sapiens (human)
nuclear factor erythroid 2-related factor 2 isoform 1 (human),NP_006155,Homo sapiens (human)
peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (human),NP_006212,Homo sapiens (human)
tumor susceptibility gene 101 protein (human),NP_006283,Homo sapiens (human)
GTP-binding nuclear protein Ran isoform 1 (human),NP_006316,Homo sapiens (human)
acyl-protein thioesterase 1 isoform 1 (human),NP_006321,Homo sapiens (human)
transforming acidic coiled-coil-containing protein 3 (human),NP_006333,Homo sapiens (human)
DNA polymerase eta isoform 1 (human),NP_006493,Homo sapiens (human)
nuclear receptor coactivator 2 isoform a (human),NP_006531,Homo sapiens (human)
C-X-C chemokine receptor type 6 (human),NP_006555,Homo sapiens (human)
COP9 signalosome complex subunit 5 (human),NP_006828,Homo sapiens (human)
tyrosine-protein phosphatase non-receptor type 5 isoform a (human),NP_008837,Homo sapiens (human)
DNA polymerase iota isoform a (long) (human),NP_009126,Homo sapiens (human)
amino acid transporter AGP1 (Saccharomyces cerevisiae S288C),NP_009905,Saccharomyces cerevisiae S288C
H(+)-transporting V0 sector ATPase subunit c' (Saccharomyces cerevisiae S288C),NP_015090,Saccharomyces cerevisiae S288C
DNA damage-inducible transcript 3 protein (house mouse),NP_031863,Mus musculus (house mouse)
protein fosB isoform 1 (house mouse),NP_032062,Mus musculus (house mouse)
interleukin-2 precursor (house mouse),NP_032392,Mus musculus (house mouse)
integrin alpha-L isoform 2 precursor (house mouse),NP_032426,Mus musculus (house mouse)
urokinase-type plasminogen activator precursor (house mouse),NP_032899,Mus musculus (house mouse)
plasminogen precursor (house mouse),NP_032903,Mus musculus (house mouse)
cAMP-dependent protein kinase catalytic subunit beta isoform 1 (house mouse),NP_035230,Mus musculus (house mouse)
urokinase plasminogen activator surface receptor precursor (house mouse),NP_035243,Mus musculus (house mouse)
nuclear receptor ROR-gamma isoform 1 (house mouse),NP_035411,Mus musculus (house mouse)
muscarinic acetylcholine receptor M5 (human),NP_036257,Homo sapiens (human)
protein-arginine deiminase type-4 (human),NP_036519,Homo sapiens (human)
14-3-3 protein gamma (human),NP_036611,Homo sapiens (human)
dual specificity tyrosine-phosphorylation-regulated kinase 1A (Norway rat),NP_036923,Rattus norvegicus (Norway rat)
rac GTPase-activating protein 1 isoform a (human),NP_037409,Homo sapiens (human)
cysteine protease ATG4B isoform a (human),NP_037457,Homo sapiens (human)
transactivating tegument protein VP16 [Human herpesvirus 1] (Herpes simplex virus type 1),NP_044650,Human alphaherpesvirus 1 (Herpes simplex virus type 1)
sentrin-specific protease 1 (human),NP_055369,Homo sapiens (human)
geminin (human),NP_056979,Homo sapiens (human)
1-acylglycerol-3-phosphate O-acyltransferase ABHD5 isoform a (human),NP_057090,Homo sapiens (human)
protein phosphatase methylesterase 1 isoform a (human),NP_057231,Homo sapiens (human)
DNA polymerase kappa isoform 1 (human),NP_057302,Homo sapiens (human)
tyrosyl-DNA phosphodiesterase 2 (human),NP_057698,Homo sapiens (human)
Vif (Human immunodeficiency virus 1),NP_057851,Human immunodeficiency virus 1
Vpr (Human immunodeficiency virus 1),NP_057852,Human immunodeficiency virus 1
"Envelope surface glycoprotein gp160, precursor (Human immunodeficiency virus 1)",NP_057856,Human immunodeficiency virus 1
scavenger receptor class B member 1 isoform 1 (house mouse),NP_058021,Mus musculus (house mouse)
peripheral myelin protein 22 (Norway rat),NP_058733,Rattus norvegicus (Norway rat)
survival motor neuron protein isoform d (human),NP_059107,Homo sapiens (human)
cytochrome P450 3A4 isoform 1 (human),NP_059488,Homo sapiens (human)
M-phase phosphoprotein 8 (human),NP_059990,Homo sapiens (human)
transient receptor potential cation channel subfamily V member 1 (human),NP_061197,Homo sapiens (human)
glycogen synthase kinase-3 alpha (human),NP_063937,Homo sapiens (human)
Golgi-associated PDZ and coiled-coil motif-containing protein isoform a (human),NP_065132,Homo sapiens (human)
NF-kappa-B inhibitor alpha (human),NP_065390,Homo sapiens (human)
mucolipin-1 (human),NP_065394,Homo sapiens (human)
fibroblast growth factor 22 isoform 1 precursor (human),NP_065688,Homo sapiens (human)
COUP transcription factor 2 isoform a (human),NP_066285,Homo sapiens (human)
muscleblind-like protein 1 isoform 1 (human),NP_066368,Homo sapiens (human)
histone acetyltransferase KAT2A isoform 1 (human),NP_066564,Homo sapiens (human)
carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 isoform 1 (human),NP_067021,Homo sapiens (human)
high affinity choline transporter 1 isoform a (human),NP_068587,Homo sapiens (human)
DNA dC->dU-editing enzyme APOBEC-3G isoform 1 (human),NP_068594,Homo sapiens (human)
5-hydroxytryptamine receptor 5A (human),NP_076917,Homo sapiens (human)
hexokinase HKDC1 (human),NP_079406,Homo sapiens (human)
serine/threonine-protein kinase 33 isoform a (human),NP_112168,Homo sapiens (human)
caspase-1 isoform alpha precursor (human),NP_150634,Homo sapiens (human)
hypothetical protein HP1089 (Helicobacter pylori 26695),NP_207880,Helicobacter pylori 26695
recombination protein RecB (Helicobacter pylori 26695),NP_208344,Helicobacter pylori 26695
fructose-bisphosphate aldolase (Mycobacterium tuberculosis H37Rv),NP_214877,Mycobacterium tuberculosis H37Rv
"1,4-dihydroxy-2-naphthoyl-CoA synthase (Mycobacterium tuberculosis H37Rv)",NP_215062,Mycobacterium tuberculosis H37Rv
serine protease (Mycobacterium tuberculosis H37Rv),NP_218188,Mycobacterium tuberculosis H37Rv
UDP-galactopyranose mutase (Mycobacterium tuberculosis H37Rv),NP_218326,Mycobacterium tuberculosis H37Rv
hypothetical protein SA1422 (Staphylococcus aureus subsp. aureus N315),NP_374707,Staphylococcus aureus subsp. aureus N315
D(3) dopamine receptor isoform e (human),NP_387512,Homo sapiens (human)
Lon protease (Escherichia coli str. K-12 substr. MG1655),NP_414973,Escherichia coli str. K-12 substr. MG1655
nucleotide exchange factor GrpE (Escherichia coli str. K-12 substr. MG1655),NP_417104,Escherichia coli str. K-12 substr. MG1655
endoribonuclease toxin MazF (Escherichia coli str. K-12 substr. MG1655),NP_417262,Escherichia coli str. K-12 substr. MG1655
exodeoxyribonuclease V subunit RecD (Escherichia coli str. K-12 substr. MG1655),NP_417296,Escherichia coli str. K-12 substr. MG1655
exodeoxyribonuclease V subunit RecB (Escherichia coli str. K-12 substr. MG1655),NP_417297,Escherichia coli str. K-12 substr. MG1655
exodeoxyribonuclease V subunit RecC (Escherichia coli str. K-12 substr. MG1655),NP_417299,Escherichia coli str. K-12 substr. MG1655
twin arginine protein translocation system - TatA protein (Escherichia coli str. K-12 substr. MG1655),NP_418280,Escherichia coli str. K-12 substr. MG1655
Female germline-specific tumor suppressor gld-1 (Caenorhabditis elegans),NP_492143,Caenorhabditis elegans
muscarinic acetylcholine receptor M1 (Norway rat),NP_542951,Rattus norvegicus (Norway rat)
protein phosphatase 1 regulatory subunit 15A (Norway rat),NP_598230,Rattus norvegicus (Norway rat)
(Lyso)-N-acylphosphatidylethanolamine lipase isoform 1 (house mouse),NP_598837,Mus musculus (house mouse)
DNA repair protein RAD52 homolog isoform a (human),NP_602296,Homo sapiens (human)
trace amine-associated receptor 1 (human),NP_612200,Homo sapiens (human)
bcl-2-like protein 11 isoform 1 (human),NP_619527,Homo sapiens (human)
diacylglycerol lipase-beta isoform 1 (human),NP_631918,Homo sapiens (human)
kallikrein-7 isoform 1 preproprotein (human),NP_644806,Homo sapiens (human)
lethal factor (plasmid) (Bacillus anthracis str. A2012),NP_652928,Bacillus anthracis str. A2012
ADP-ribosylation factor GTPase-activating protein 1 (Norway rat),NP_659558,Rattus norvegicus (Norway rat)
sentrin-specific protease 8 (human),NP_660205,Homo sapiens (human)
DNA dC->dU-editing enzyme APOBEC-3F isoform a (human),NP_660341,Homo sapiens (human)
DNA dC->dU-editing enzyme APOBEC-3A isoform a (human),NP_663745,Homo sapiens (human)
lamin isoform A-delta10 (human),NP_733822,Homo sapiens (human)
Protein skinhead-1 (Caenorhabditis elegans),NP_741406,Caenorhabditis elegans
5-hydroxytryptamine receptor 2A (house mouse),NP_766400,Mus musculus (house mouse)
anoctamin-1 isoform 1 (house mouse),NP_848757,Mus musculus (house mouse)
nuclear receptor coactivator 3 isoform a (human),NP_858045,Homo sapiens (human)
pyruvate kinase PKM isoform b (human),NP_872270,Homo sapiens (human)
kelch-like ECH-associated protein 1 (human),NP_987096,Homo sapiens (human)
chaperonin GroEL (Methanococcus maripaludis S2),NP_988635,Methanococcus maripaludis S2
neuropeptide S receptor isoform A (human),NP_997055,Homo sapiens (human)
cAMP-dependent protein kinase catalytic subunit beta isoform 3 (human),NP_997461,Homo sapiens (human)
Toll-like receptor 4 (human),O00206,Homo sapiens (human)
Torsin-1A (human),O14656,Homo sapiens (human)
Solute carrier family 22 member 1 (human),O15245,Homo sapiens (human)
Polyunsaturated fatty acid lipoxygenase ALOX15B (human),O15296,Homo sapiens (human)
ATP-binding cassette sub-family C member 3 (human),O15438,Homo sapiens (human)
ATP-binding cassette sub-family C member 4 (human),O15439,Homo sapiens (human)
Solute carrier organic anion transporter family member 1A4 (Norway rat),O35913,Rattus norvegicus (Norway rat)
Solute carrier family 22 member 6 (Norway rat),O35956,Rattus norvegicus (Norway rat)
Motilin receptor (human),O43193,Homo sapiens (human)
Adenylate cyclase type 9 (human),O60503,Homo sapiens (human)
Tyrosine-protein kinase JAK2 (human),O60674,Homo sapiens (human)
Glucose transporter (Leishmania mexicana),O61059,Leishmania mexicana
Bile salt export pump (Norway rat),O70127,Rattus norvegicus (Norway rat)
5-hydroxytryptamine receptor 4 (domestic guinea pig),O70528,Cavia porcellus (domestic guinea pig)
Microphthalmia-associated transcription factor (human),O75030,Homo sapiens (human)
Probable G-protein coupled receptor 32 (human),O75388,Homo sapiens (human)
Nuclear receptor subfamily 1 group I member 2 (human),O75469,Homo sapiens (human)
"cGMP-specific 3',5'-cyclic phosphodiesterase (human)",O76074,Homo sapiens (human)
PglD  (Campylobacter jejuni),O86157,Campylobacter jejuni
Solute carrier organic anion transporter family member 1A5 (Norway rat),O88397,Rattus norvegicus (Norway rat)
ATP-binding cassette sub-family C member 3 (Norway rat),O88563,Rattus norvegicus (Norway rat)
Organic anion transporter 3 (house mouse),O88909,Mus musculus (house mouse)
"Thioredoxin reductase 1, cytoplasmic (Norway rat)",O89049,Rattus norvegicus (Norway rat)
Solute carrier organic anion transporter family member 2B1 (human),O94956,Homo sapiens (human)
Bile salt export pump (human),O95342,Homo sapiens (human)
Rap guanine nucleotide exchange factor 3 (human),O95398,Homo sapiens (human)
Histone-lysine N-methyltransferase NSD2 (human),O96028,Homo sapiens (human)
Hexose transporter 1  (malaria parasite P. falciparum),O97467,Plasmodium falciparum (malaria parasite P. falciparum)
Dihydrofolate reductase (human),P00374,Homo sapiens (human)
Dihydrofolate reductase (house mouse),P00375,Mus musculus (house mouse)
Dihydrofolate reductase (cattle),P00376,Bos taurus (cattle)
Dihydrofolate reductase (chicken),P00378,Gallus gallus (chicken)
Dihydrofolate reductase (Enterococcus faecium),P00380,Enterococcus faecium
Dihydrofolate reductase (Lacticaseibacillus casei),P00381,Lacticaseibacillus casei
Thymidylate synthase (Lacticaseibacillus casei),P00469,Lacticaseibacillus casei
Epidermal growth factor receptor (human),P00533,Homo sapiens (human)
Papain (papaya),P00784,Carica papaya (papaya)
Carbonic anhydrase 2 (human),P00918,Homo sapiens (human)
Interferon beta (human),P01574,Homo sapiens (human)
Albumin (human),P02768,Homo sapiens (human)
Genome polyprotein (Foot-and-mouth disease virus (strain A12)),P03308,Foot-and-mouth disease virus (strain A12)
Estrogen receptor (human),P03372,Homo sapiens (human)
Interstitial collagenase (human),P03956,Homo sapiens (human)
3-hydroxy-3-methylglutaryl-coenzyme A reductase (human),P04035,Homo sapiens (human)
Glucocorticoid receptor (human),P04150,Homo sapiens (human)
Receptor tyrosine-protein kinase erbB-2 (human),P04626,Homo sapiens (human)
Cellular tumor antigen p53 (human),P04637,Homo sapiens (human)
Thymidylate synthase (human),P04818,Homo sapiens (human)
Amyloid-beta precursor protein (human),P05067,Homo sapiens (human)
Cytochrome P450 1A2 (human),P05177,Homo sapiens (human)
Cytochrome P450 2E1 (human),P05181,Homo sapiens (human)
Tyrosine-protein kinase Lck (human),P06239,Homo sapiens (human)
Tyrosine-protein kinase Fyn (human),P06241,Homo sapiens (human)
Progesterone receptor (human),P06401,Homo sapiens (human)
Glutathione peroxidase 1 (human),P07203,Homo sapiens (human)
Bifunctional dihydrofolate reductase-thymidylate synthase (Leishmania major),P07382,Leishmania major
Beta-2 adrenergic receptor (human),P07550,Homo sapiens (human)
Thymidylate synthase (house mouse),P07607,Mus musculus (house mouse)
Glycine receptor subunit alpha-1 (Norway rat),P07727,Rattus norvegicus (Norway rat)
Aldo-keto reductase family 1 member B1 (Norway rat),P07943,Rattus norvegicus (Norway rat)
Muscarinic acetylcholine receptor M2 (human),P08172,Homo sapiens (human)
Muscarinic acetylcholine receptor M4 (human),P08173,Homo sapiens (human)
ATP-dependent translocase ABCB1 (human),P08183,Homo sapiens (human)
Neutrophil elastase (human),P08246,Homo sapiens (human)
Cathepsin G (human),P08311,Homo sapiens (human)
Receptor-type tyrosine-protein phosphatase C (human),P08575,Homo sapiens (human)
Beta-1 adrenergic receptor (human),P08588,Homo sapiens (human)
Cytochrome P450 3A4 (human),P08684,Homo sapiens (human)
Guanine nucleotide-binding protein G(i) subunit alpha-3 (Norway rat),P08753,Rattus norvegicus (Norway rat)
5-hydroxytryptamine receptor 1A (human),P08908,Homo sapiens (human)
Muscarinic acetylcholine receptor M5 (human),P08912,Homo sapiens (human)
Alpha-2A adrenergic receptor (human),P08913,Homo sapiens (human)
High mobility group protein B1 (human),P09429,Homo sapiens (human)
Poly [ADP-ribose] polymerase 1 (human),P09874,Homo sapiens (human)
Nucleoprotein (Lymphocytic choriomeningitis virus (strain Armstrong)),P09992,Lymphocytic choriomeningitis virus (strain Armstrong)
Dihydrofolate reductase (Staphylococcus aureus),P0A017,Staphylococcus aureus
Thymidylate synthase (Escherichia coli K-12),P0A884,Escherichia coli K-12
Dihydrofolate reductase (Escherichia coli K-12),P0ABQ4,Escherichia coli K-12
tRNA threonylcarbamoyladenosine biosynthesis protein TsaE (Escherichia coli K-12),P0AF67,Escherichia coli K-12
Adenosine receptor A3 (human),P0DMS8,Homo sapiens (human)
Replicase polyprotein 1ab (Severe acute respiratory syndrome coronavirus 2),P0DTD1,Severe acute respiratory syndrome coronavirus 2
