protid,Protein_Accession,Taxonomy
"Chain A, MAJOR APURINIC/APYRIMIDINIC ENDONUCLEASE (human)",1DE9_A,Homo sapiens (human)
"Chain A, TYROSYL-DNA PHOSPHODIESTERASE (human)",1JY1_A,Homo sapiens (human)
"Chain E, Fibrin beta chain (human)",1N8E_E,Homo sapiens (human)
"Chain A, Breast cancer type 1 susceptibility protein (human)",1OQA_A,Homo sapiens (human)
"Chain A, Genome polyprotein (Human poliovirus 1 Mahoney)",1RA7_A,Human poliovirus 1 Mahoney
"Chain B, REV PEPTIDE (Human immunodeficiency virus 1)",1ULL_B,Human immunodeficiency virus 1
"Chain A, Hiv-1 Reverse Transcriptase (Human immunodeficiency virus 1)",1VRU_A,Human immunodeficiency virus 1
"Chain A, Glucosylceramidase (human)",1Y7V_A,Homo sapiens (human)
"Chain A, Autoinducer 2-binding periplasmic protein luxP (Vibrio harveyi)",1ZHH_A,Vibrio harveyi
"Chain B, Autoinducer 2 sensor kinase/phosphatase luxQ (Vibrio harveyi)",1ZHH_B,Vibrio harveyi
"Chain A, Pantoate--beta-alanine ligase (Mycobacterium tuberculosis)",2A88_A,Mycobacterium tuberculosis
"Chain A, Beta-lactamase (Escherichia coli K-12)",2HDS_A,Escherichia coli K-12
"Chain A, Putative fructose-1,6-bisphosphate aldolase (Giardia intestinalis)",2ISV_A,Giardia intestinalis
"Chain A, HADH2 protein (human)",2O23_A,Homo sapiens (human)
"Chain B, HADH2 protein (human)",2O23_B,Homo sapiens (human)
"Chain A, Neuropilin-1 (human)",2QQI_A,Homo sapiens (human)
"Chain A, JmjC domain-containing histone demethylation protein 3A (human)",2QQS_A,Homo sapiens (human)
"Chain A, BCL-2-RELATED PROTEIN A1 (human)",2VM6_A,Homo sapiens (human)
"Chain A, 2-oxoglutarate Oxygenase (human)",2W2I_A,Homo sapiens (human)
"Chain A, ATP-DEPENDENT DNA HELICASE Q1 (human)",2WWY_A,Homo sapiens (human)
"Chain A, RNA-directed RNA polymerase NS5 (Dengue virus 2 16681-PDK53)",3EVG_A,Dengue virus 2 16681-PDK53
"Chain A, Ferritin light chain (horse)",3F32_A,Equus caballus (horse)
"Chain A, Cruzipain (Trypanosoma cruzi)",3I06_A,Trypanosoma cruzi
"RNA polymerase beta subunit (EC 2.7.7.6), partial (Escherichia coli)",AAA24585,Escherichia coli
glucose-6-phosphate dehydrogenase (Leuconostoc mesenteroides),AAA25265,Leuconostoc mesenteroides
Luciferase (common eastern firefly),AAA29795,Photinus pyralis (common eastern firefly)
GTP-binding protein (rab7) (dog),AAA30890,Canis lupus familiaris (dog)
"citrate synthase 2, partial (brewer's yeast)",AAA34498,Saccharomyces cerevisiae (brewer's yeast)
"ras protein, partial (human)",AAA36557,Homo sapiens (human)
"T cell receptor, partial (human)",AAA51534,Homo sapiens (human)
coagulation factor XI (human),AAA51985,Homo sapiens (human)
acid sphingomyelinase (human),AAA58377,Homo sapiens (human)
putative potassium channel subunit (human),AAA62473,Homo sapiens (human)
Bcl-w (human),AAB09055,Homo sapiens (human)
metabotropic glutamate receptor 8 (Norway rat),AAB09537,Rattus norvegicus (Norway rat)
"calpain II, partial (pig)",AAB17381,Sus scrofa (pig)
"amyloid precursor protein, partial (human)",AAB23646,Homo sapiens (human)
Nrf2 (human),AAB32188,Homo sapiens (human)
DNA polymerase (Vaccinia virus),AAB59829,Vaccinia virus
"glp-1 receptor, partial (human)",AAB64013,Homo sapiens (human)
"TCRAV4S1, partial (human)",AAB69001,Homo sapiens (human)
aryl hydrocarbon receptor nuclear translocator (human),AAC03365,Homo sapiens (human)
alternatively spliced Trp4 (house mouse),AAC05178,Mus musculus (house mouse)
Mint1 (Norway rat),AAC05303,Rattus norvegicus (Norway rat)
CtBP interacting protein CtIP (human),AAC14371,Homo sapiens (human)
thioredoxin reductase (Norway rat),AAC35244,Rattus norvegicus (Norway rat)
BRCA1 (human),AAC37594,Homo sapiens (human)
RGS12 (human),AAC39835,Homo sapiens (human)
ClpP (Bacillus subtilis),AAC46381,Bacillus subtilis
dopamine transporter (human),AAC50179,Homo sapiens (human)
"RGS7, partial (human)",AAC50351,Homo sapiens (human)
SUMO-1 (human),AAC50996,Homo sapiens (human)
ADAM10 (human),AAC51766,Homo sapiens (human)
"15-lipoxygenase, partial (human)",AAC52118,Homo sapiens (human)
prothrombin (human),AAC63054,Homo sapiens (human)
WRN (human),AAC63361,Homo sapiens (human)
"integrase, partial (Human immunodeficiency virus 1)",AAC83551,Human immunodeficiency virus 1
chaperonin-containing TCP-1 beta subunit homolog (human),AAC98906,Homo sapiens (human)
"90-kda heat shock protein beta HSP90 beta, partial (human)",AAD14062,Homo sapiens (human)
thioredoxin peroxidase (Schistosoma mansoni),AAD17299,Schistosoma mansoni
ubiquitin C-terminal hydrolase UCH37 (human),AAD31528,Homo sapiens (human)
SUMO-1-specific protease (human),AAF04852,Homo sapiens (human)
"matrix metalloproteinase 1, partial (human)",AAF24178,Homo sapiens (human)
lens epithelium-derived growth factor p75 (human),AAF25870,Homo sapiens (human)
metallo beta-lactamase (Pseudomonas aeruginosa),AAF61483,Pseudomonas aeruginosa
Mcl-1 (human),AAF64255,Homo sapiens (human)
hypothetical protein VC_A0002 (Vibrio cholerae O1 biovar El Tor str. N16961),AAF95916,Vibrio cholerae O1 biovar El Tor str. N16961
acetyl-CoA acetyltransferase/HMG-CoA reductase (Enterococcus faecalis),AAG02439,Enterococcus faecalis
phosphopantetheinyl transferase (Bacillus subtilis),AAG24257,Bacillus subtilis
Kcnk3 channel (human),AAG29340,Homo sapiens (human)
"PPP5C protein, partial (human)",AAH00750,Homo sapiens (human)
Heat shock 70kDa protein 1A (human),AAH02453,Homo sapiens (human)
Ubiquitin-like modifier activating enzyme 2 (human),AAH03153,Homo sapiens (human)
"Arrestin, beta 1 (human)",AAH03636,Homo sapiens (human)
PSMD14 protein (human),AAH09524,Homo sapiens (human)
"Prolyl 4-hydroxylase, beta polypeptide (human)",AAH10859,Homo sapiens (human)
Cathepsin G (human),AAH14460,Homo sapiens (human)
Sphingosine-1-phosphate receptor 4 (human),AAH14970,Homo sapiens (human)
"ATAD5 protein, partial (human)",AAH15051,Homo sapiens (human)
MPI protein (human),AAH17351,Homo sapiens (human)
SUMO1 activating enzyme subunit 1 (human),AAH18271,Homo sapiens (human)
Dihydrolipoamide dehydrogenase (human),AAH18648,Homo sapiens (human)
"USP1 protein, partial (human)",AAH18745,Homo sapiens (human)
"PRMT1 protein, partial (human)",AAH19268,Homo sapiens (human)
"Cyclin-dependent kinase 5, regulatory subunit 1 (p35) (human)",AAH26347,Homo sapiens (human)
Fam108b protein (house mouse),AAH32261,Mus musculus (house mouse)
Methyl-CpG binding domain protein 2 (human),AAH32638,Homo sapiens (human)
GLS protein (human),AAH38507,Homo sapiens (human)
MCOLN3 protein (human),AAH60765,Homo sapiens (human)
Microphthalmia-associated transcription factor (human),AAH65243,Homo sapiens (human)
Eukaryotic translation initiation factor 4H (human),AAH66928,Homo sapiens (human)
WEE1 homolog (S. pombe) (human),AAH70052,Homo sapiens (human)
NCOA2 protein (human),AAH92442,Homo sapiens (human)
Hsf1 protein (house mouse),AAH94064,Mus musculus (house mouse)
Cathepsin B (human),AAH95408,Homo sapiens (human)
MSRA protein (cattle),AAI02981,Bos taurus (cattle)
RGS8 protein (human),AAI03867,Homo sapiens (human)
Myeloid cell leukemia sequence 1 (BCL2-related) (human),AAI07736,Homo sapiens (human)
TDP1 protein (human),AAI07878,Homo sapiens (human)
"HSP90AA1 protein, partial (human)",AAI08696,Homo sapiens (human)
Microtubule-associated protein tau (human),AAI14949,Homo sapiens (human)
Valosin-containing protein (human),AAI21795,Homo sapiens (human)
TSHR protein (human),AAI27629,Homo sapiens (human)
Estrogen receptor 1 (human),AAI28575,Homo sapiens (human)
SUMO1/sentrin specific peptidase 7 (human),AAI29989,Homo sapiens (human)
"alkaline phosphatase, intestinal (human)",AAI32679,Homo sapiens (human)
"Phospholipase C, gamma 1 (human)",AAI36467,Homo sapiens (human)
Apoptotic peptidase activating factor 1 (human),AAI36532,Homo sapiens (human)
"Phospholipase C, beta 3 (phosphatidylinositol-specific) (human)",AAI42682,Homo sapiens (human)
NLRP3 protein (human),AAI43360,Homo sapiens (human)
Prolyl endopeptidase-like (human),AAI51237,Homo sapiens (human)
"STAT3, partial (human)",AAK17196,Homo sapiens (human)
thioredoxin glutathione reductase (Schistosoma mansoni),AAK85233,Schistosoma mansoni
Smad3 (human),AAL68976,Homo sapiens (human)
"apical membrane antigen 1, AMA1 (Plasmodium falciparum 3D7)",AAN35928,Plasmodium falciparum 3D7
metallo-beta-lactamase IMP-1 (Pseudomonas aeruginosa),AAN87168,Pseudomonas aeruginosa
"aldehyde dehydrogenase 1 family, member A1 (human)",AAP35567,Homo sapiens (human)
PINK1 (human),AAQ89316,Homo sapiens (human)
thyroid stimulating hormone receptor (human),AAR07906,Homo sapiens (human)
corticotropin-releasing hormone receptor 2 (human),AAR18078,Homo sapiens (human)
plectin 1 (human),AAR95677,Homo sapiens (human)
envelope glycoprotein (Human immunodeficiency virus 1),AAS58777,Human immunodeficiency virus 1
proinsulin (human),AAW83741,Homo sapiens (human)
"hypothetical protein, conserved (Trypanosoma brucei)",AAX80043,Trypanosoma brucei
"3C-like protease, partial (Infectious bronchitis virus)",AAZ82016,Infectious bronchitis virus
"core protein, partial (Hepacivirus C)",ABC47431,Hepacivirus C
regulator of G-protein signaling 4 (human),ABC94590,Homo sapiens (human)
regulator of G-protein signaling 4 (human),ABC94591,Homo sapiens (human)
"isocitrate dehydrogenase 1, partial (human)",ABD77215,Homo sapiens (human)
diphosphomevalonate decarboxylase (Streptococcus pneumoniae D39),ABJ54071,Streptococcus pneumoniae D39
phosphomevalonate kinase (Streptococcus pneumoniae D39),ABJ55414,Streptococcus pneumoniae D39
Kruppel-like factor 5 (human),ABM97548,Homo sapiens (human)
"NS3, partial (Hepacivirus C)",ABN45876,Hepacivirus C
"LuxS, partial (Vibrio harveyi)",ABY84639,Vibrio harveyi
nonstructural protein 1 (Influenza A virus (A/WSN/1933(H1N1))),ACF54603,Influenza A virus (A/WSN/1933(H1N1))
MAS-related GPR member X1 (human),ACG60652,Homo sapiens (human)
nonstructural protein 1 (Influenza A virus (A/California/07/2009(H1N1))),ACP44172,Influenza A virus (A/California/07/2009(H1N1))
LANA (Human gammaherpesvirus 8),ADQ57959,Human gammaherpesvirus 8
"potassium voltage-gated channel subfamily H member 2 isoform a, partial (human)",AEL63844,Homo sapiens (human)
67.9K protein (Vaccinia virus),BAA01847,Vaccinia virus
pyruvate kinase (Geobacillus stearothermophilus),BAA02406,Geobacillus stearothermophilus
glucocerebrosidase (human),BAA02545,Homo sapiens (human)
luciferase (Pennsylania firefly),BAA05005,Photuris pensylvanica (Pennsylania firefly)
Parkin (human),BAA25751,Homo sapiens (human)
Gli1 (house mouse),BAA85004,Mus musculus (house mouse)
bromodomain adjacent to zinc finger domain 2B (human),BAA89212,Homo sapiens (human)
